,Date,GameID,Drive,qtr,down,time,TimeUnder,TimeSecs,PlayTimeDiff,SideofField,yrdln,yrdline100,ydstogo,ydsnet,GoalToGo,FirstDown,posteam,DefensiveTeam,desc,PlayAttempted,Yards.Gained,sp,Touchdown,ExPointResult,TwoPointConv,DefTwoPoint,Safety,PuntResult,PlayType,Passer,PassAttempt,PassOutcome,PassLength,PassLocation,InterceptionThrown,Interceptor,Rusher,RushAttempt,RunLocation,RunGap,Receiver,Reception,ReturnResult,Returner,BlockingPlayer,Tackler1,Tackler2,FieldGoalResult,FieldGoalDistance,Fumble,RecFumbTeam,RecFumbPlayer,Sack,Challenge.Replay,ChalReplayResult,Accepted.Penalty,PenalizedTeam,PenaltyType,PenalizedPlayer,Penalty.Yards,PosTeamScore,DefTeamScore,ScoreDiff,AbsScoreDiff,Season
1056,9/10/15,2015091000,5,2,NA,11:11,12,2471,0,NE,35,35,0,0,0,NA,PIT,NE,"S.Gostkowski kicks 65 yards from NE 35 to end zone, Touchback.",1,0,0,0,NA,NA,NA,0,NA,Kickoff,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,Touchback,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,7,-7,7,2015
1071,9/10/15,2015091000,5,2,1,11:11,12,2471,0,PIT,20,80,10,2,0,0,PIT,NE,(11:11) De.Williams up the middle to PIT 22 for 2 yards (S.Siliga).,1,2,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,S.Siliga,1,middle,NA,NA,0,NA,NA,NA,S.Siliga,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,7,-7,7,2015
1092,9/10/15,2015091000,5,2,2,10:33,11,2433,38,PIT,22,78,8,2,0,0,PIT,NE,(10:33) B.Roethlisberger pass incomplete short left to H.Miller.,1,0,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Incomplete Pass,Short,left,0,NA,NA,0,NA,NA,H.Miller,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,7,-7,7,2015
1114,9/10/15,2015091000,5,2,3,10:27,11,2427,6,PIT,22,78,8,45,0,1,PIT,NE,(10:27) (Shotgun) B.Roethlisberger pass deep left to D.Heyward-Bey pushed ob at NE 35 for 43 yards (B.Fletcher).,1,43,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Complete,Deep,left,0,NA,NA,0,NA,NA,D.Heyward,1,NA,NA,NA,B.Fletcher,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,7,-7,7,2015
1139,9/10/15,2015091000,5,2,1,10:02,11,2402,25,NE,35,35,10,51,0,0,PIT,NE,"(10:02) (No Huddle, Shotgun) De.Williams right end pushed ob at NE 29 for 6 yards (D.Hightower).",1,6,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,D.Hightower,1,right,end,NA,0,NA,NA,NA,D.Hightower,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,7,-7,7,2015
1165,9/10/15,2015091000,5,2,2,9:30,10,2370,32,NE,29,29,4,52,0,0,PIT,NE,"(9:30) (No Huddle, Shotgun) De.Williams right tackle to NE 28 for 1 yard (J.Sheard).",1,1,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,J.Sheard,1,right,tackle,NA,0,NA,NA,NA,J.Sheard,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,7,-7,7,2015
1186,9/10/15,2015091000,5,2,3,8:46,9,2326,44,NE,28,28,3,52,0,0,PIT,NE,(8:46) (Shotgun) B.Roethlisberger pass incomplete deep right to A.Brown.,1,0,0,0,NA,NA,NA,0,NA,Pass,B.Roethlisberger,1,Incomplete Pass,Deep,right,0,NA,NA,0,NA,NA,A.Brown,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,7,-7,7,2015
1208,9/10/15,2015091000,5,2,4,8:43,9,2323,3,NE,28,28,3,52,0,1,PIT,NE,"(8:43) J.Scobee 46 yard field goal is No Good, Wide Right, Center-G.Warren, Holder-J.Berry.",1,0,0,0,NA,NA,NA,0,NA,Field Goal,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,No Good,46,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,7,-7,7,2015
1228,9/10/15,2015091000,6,2,1,8:38,9,2318,5,NE,36,64,10,14,0,1,NE,PIT,(8:38) T.Brady pass short middle to J.Edelman to PIT 50 for 14 yards (C.Allen).,1,14,0,0,NA,NA,NA,0,NA,Pass,T.Brady,1,Complete,Short,middle,0,NA,NA,0,NA,NA,J.Edelman,1,NA,NA,NA,C.Allen,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,7,0,7,7,2015
1253,9/10/15,2015091000,6,2,1,8:06,9,2286,32,PIT,50,50,10,14,0,0,NE,PIT,(8:06) D.Lewis up the middle to PIT 50 for no gain (J.Jones; C.Heyward).,1,0,0,0,NA,NA,NA,0,NA,Run,NA,0,NA,NA,NA,0,NA,D.Lewis,1,middle,NA,NA,0,NA,NA,NA,J.Jones,C.Heyward,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,7,0,7,7,2015
